Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
Prvenstvo PGŽ za 2022.g. -  djevojčice do 7 i do 9 godina,20220319,20220320,,ŠK Goranka i ŠSPGŽ,Bruno Juranić,"Birk, Bojan 14527677",,,Ravna Gora,30 min,CRO,,19.03.2022  14:43,0,9,6,6,620016,Schweizer System
Prvenstvo PGŽ za 2022.g. -  kadeti i kadetkinje do 15 godina,20220319,20220320,,ŠK Goranka i ŠSPGŽ,Bruno Juranić,"Birk, Bojan 14527677",,,Ravna Gora,30 min + 30 sec,CRO,,20.03.2022  14:55,0,20,6,6,620014,Schweizer System
"Prvenstvo šahovskog kluba ""PETAR SEDLAR - PEPE"" za 2022. godinu.",20220306,20220320,,ŠK PETAR SEDLAR - PEPE,Ivica Brkić,Vladimir Cvetnić,,,,90 minuta + 30 sekundi za svaki odigraqni potez,CRO,,21.03.2022  08:58,0,13,7,7,616664,Schweizer System
Prvenstvo PGŽ za 2022.g. -  dječaci do 7 i do 9 godina,20220319,20220319,,ŠK Goranka i ŠSPGŽ,Bruno Juranić,"Birk, Bojan 14527677",,,Ravna Gora,30 min,CRO,,19.03.2022  14:43,0,17,6,6,620015,Schweizer System
POJEDINAČNO ŠAHOVSKO PRVENSTVO VSŽ ZA 2022. GODINU,20220311,20220313,,Š.S. VSŽ i Š.K. ''Šokadija'' Stari Mikanovci,Zdenko Brkić,"Anto Majić, FA",,,"Stari Mikanovci-Šahovski dom, Školska 17B",30 min. fiksnog vremena po igraču + dodatak od 30 sec. za svaki završeni potez počevši od prvoga,CRO,,13.03.2022  20:24,0,43,7,7,615694,Schweizer System
Prvenstvo PGŽ za 2022.g. -  Juniori i juniorke do 17 godina,20220312,20220313,,ŠK Rijeka i ŠSPGŽ,Ivan Mandekić,Teo Trošelj,,Teo Trošelj,Rijeka,30 min + 30 sec,CRO,,13.03.2022  14:31,0,14,6,6,618478,Schweizer System
Prvenstvo PGŽ za 2022.g. -  kadeti i kadetkinje do 11 godina,20220312,20220313,,ŠK Rijeka i ŠSPGŽ,Ivan Mandekić,Teo Trošelj,,Teo Trošelj,Rijeka,30 min + 30 sec,CRO,,13.03.2022  14:31,0,19,6,6,618477,Schweizer System
Seniorski šahovski turnir ŠK Đurđenovac,20220312,20220312,,Šahovski klub Đurđenovac,Slavko Vulić,Miroslav Tot,,Slavko Vulić,Đurđenovac,10 min po igraču,CRO,,12.03.2022  14:34,0,22,7,7,618569,Schweizer System
"3. Međunarodni šahovski festival mladih ŠS VSŽ- Open U12,Babina Greda, 05.03.-06.03.2022.",20220305,20220306,,"ŠS VSŽ i ŠK Šahovski centar Nexus, Županja",Ilija Rajković [14541424],"Krunoslav Lešić, IO, IA [14505258]","Mia Ivona Juric, NA [14561999]","Mato Čivić, NA [14542625], Ivan Dujić, NA [14574829]","Babina Greda, HDK Franjo Delić",60min+30s,CRO,,21.03.2022  11:42,0,74,6,6,608546,Schweizer System
"3. Međunarodni šahovski festival mladih ŠS VSŽ- Open U16,Babina Greda, 05.03.-06.03.2022.",20220305,20220306,,"ŠS VSŽ i ŠK Šahovski centar Nexus, Županja",Ilija Rajković [14541424],"Krunoslav Lešić, IO, IA [14505258]","Mia Ivona Juric, NA [14561999]","Mato Čivić, NA [14542625], Ivan Dujić, NA [14574829]","Babina Greda, HDK Franjo Delić",60min+30s,CRO,,06.03.2022  17:43,0,58,6,6,608547,Schweizer System
"3. Međunarodni šahovski festival mladih ŠS VSŽ- Open U20,Babina Greda, 05.03.-06.03.2022.",20220305,20220306,,"ŠS VSŽ i ŠK Šahovski centar Nexus, Županja",Ilija Rajković [14541424],"Krunoslav Lešić, IO, IA [14505258]","Mia Ivona Jurić, NA [14561999]","Mato Čivić, NA [14542625], Ivan Dujić, NA [14574829]","Babina Greda, HDK Franjo Delić",60min+30s,CRO,,06.03.2022  17:42,0,17,6,6,608548,Schweizer System
Pojedinačno seniorsko prvenstvo Šahovskog kluba Križevci za 2022. godinu,20220212,20220227,,Šahovski klub Križevci,Igor Kudeljanjak,Borislav Vidović DS,,Goran Martić KS,Križevci,90 minuta + 30 sekundi dodatka za svaki odigrani potez počevši od prvog,CRO,,27.02.2022  15:54,0,8,6,6,609108,Schweizer System
Otvoreno prvenstvo grada Crikvenice za 2022.god,20220212,20220226,,"ŠK ""Crikvenica""",Nikola Sundać,Nenad Jurman,,,"Crikvenica, prostorije kluba, Vinodolska 1",60min + 30 sec,CRO,,26.02.2022  19:31,0,16,7,7,609785,Schweizer System
"Otvoreno amatersko prvenstvo ŠK ""BRDA"" SPLIT 2022",20220221,20220225,,"ŠK "" BRDA"" SPLIT",Mateo Ivić,Vladimir Cvetnić IA,Čalija Zvonimir NA ( Klupski sudac),,Split,60 minuta + 30 sekundi za svaki odigrani potez,CRO,,25.02.2022  19:51,0,23,7,7,609729,Schweizer System
TURNIR MLADIH SESVETE 2022,20220221,20220225,,ŠK SESVETE AGROPROTEINKA Radoslav Dumančić,Milan Brigljević,Tihana Iveković,Ana Iveković,,SESVETE,60+30,CRO,,25.02.2022  12:51,0,20,9,9,611104,Schweizer System
"Pojedinačna kadetska i juniorsko prvenstvo VSŽ 2022., Juniori (U20),Babina Greda, 12.-13.02.2022.",20220212,20220213,,"ŠS VSŽ i ŠK Šokadija, Babina Greda","Ilija Rajković, klupski sudac","Krunoslav Lešić, IA, IO",,,,"30'+30""",CRO,,13.02.2022  12:54,0,12,5,5,608595,Schweizer System
"Pojedinačna kadetska i juniorsko prvenstvo VSŽ 2022., Kadeti (U16),Babina Greda, 12.-13.02.2022.",20220212,20220213,,"ŠS VSŽ i ŠK Šokadija, Babina Greda","Ilija Rajković, klupski sudac","Krunoslav Lešić, IA, IO",,,"Babina Greda, Ul. kralja Tomislava 4","30'+30""",CRO,,13.02.2022  14:12,0,23,6,6,608594,Schweizer System
"Pojedinačna kadetska i juniorsko prvenstvo VSŽ 2022., Mlađi kadeti (U12),Babina Greda, 12.-13.02.2022.",20220212,20220213,,"ŠS VSŽ i ŠK Šokadija, Babina Greda","Ilija Rajković, klupski sudac","Krunoslav Lešić, međunarodni sudac","Mia Ivona Jurić, klupski sudac",,"Babina Greda, Ul. kralja Tomislava 4","30'+30""",CRO,,13.02.2022  14:05,0,46,6,6,608593,Schweizer System
POJEDINAČNO SENIORSKO PRVENSTVO BRODSKO-POSAVSKE ŽUPANIJE U STANDARDNOM ŠAHUZA 2022. GODINU,20220114,20220123,,"ŠAHOVSKI SAVEZ BRODSKO-POSAVSKE ŽUPANIJE, ŠK ""ĐURO ĐAKOVIĆ"" SLAVONSKI BROD",ZLATKO MARTIĆ,IVAN ĐANČEVIĆ,,ĐURO KOKANOVIĆ,SLAVONSKI BROD,90 MINUTA + 30 SEKUNDI,CRO,,23.01.2022  16:01,0,28,7,7,603036,Schweizer System
POJEDINAČNO SENIORSKO PRVENSTVO BRODSKO-POSAVSKE ŽUPANIJE U STANDARDNOM ŠAHUZA 2022. GODINU,20220114,20220123,,"ŠAHOVSKI SAVEZ BRODSKO-POSAVSKE ŽUPANIJE, ŠK ""ĐURO ĐAKOVIĆ"" SLAVONSKI BROD",ZLATKO MARTIĆ,IVAN ĐANČEVIĆ,,ĐURO KOKANOVIĆ,SLAVONSKI BROD,90 MINUTA + 30 SEKUNDI,CRO,,25.12.2022  17:39,0,28,7,7,712806,Schweizer System
23. kadetsko prvenstvo OBŽ_ turnir do 11 godina,20220107,20220109,,ŠS Osječko-baranjske županije,Renato Vince,Zdravko Birovljević,,"Renato Vince, Andrej Meško","Valpovo, hotel Villa Valpovo",30 minuta fiksnog vremena+30 sekundi dodatka za svaki potez,CRO,,09.01.2022  15:18,0,23,9,9,601104,Schweizer System
23. kadetsko prvenstvo OBŽ_ turnir do 15 godina,20220107,20220109,,ŠS Osječko-baranjske županije,Renato Vince,Zdravko Birovljević,,"Renato Vince, Andrej Meško","Valpovo, hotel Villa Valpovo",30 minuta fiksnog vremena+30 sekundi dodatka za svaki potez,CRO,,09.01.2022  15:36,0,31,9,9,601103,Schweizer System
"MEĐUNARODNI OTVORENI ŠAHOVSKI TURNIR ""26th Open BOŠNJACI"" 2022",20220103,20220109,,Chess club Bosnjaci Bošnjaci,Luka Golubičić,"Branko Vidačković, IA 14509229","Babic, Andrija, IA 14507390",Tomislav Jazvić NA 14537532,"Kino dvorana dom kulture, Bošnjaci",90 minutes with 30 seconds cumulative increment for each move starting from first move,CRO,,10.01.2022  10:22,0,111,9,9,583717,Schweizer System
Novogodišnji Cuger u klububrzopotezno prvenstvo kluba Petar Sedlar-Pepe 2022.g.,20220109,20220109,,U.O. ŠK Petar Sedlar-Pepe,Ivica Brkić,Stjepan Gudelj,,,Kaštel Novi,10min,CRO,,09.01.2022  18:58,0,11,7,7,604788,Schweizer System
Pojedinačno prvenstvo KCKŽ 2022. - seniorke,20220106,20220109,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Vlado Karagić, FA",,"Marin Domović, KS","Đurđevac, Hotel Picok","90'+30"" - standard",CRO,,09.01.2022  15:56,0,7,6,6,603744,Schweizer System
Pojedinačno seniorsko prvenstvo KCKŽ 2022.,20220106,20220109,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Vlado Karagić, FA",,"Marin Domović, KS","Đurđevac, Hotel Picok","90'+30"" - standard",CRO,,09.01.2022  18:28,0,20,6,6,603742,Schweizer System
